URL,Product name,Length,isLegit,,,
https://www.factorybuys.com.au/products/euro-top-mattress-king,Factory Buys 32cm Euro Top Mattress - King,42,FALSE,,,
https://dunlin.com.au/products/beadlight-cirrus,Beadlight Cirrus LED Reading Light,34,FALSE,,,
https://themodern.net.au/products/hamar-plant-stand-ash,Hamar Plant Stand - Ash,23,FALSE,,,
https://furniturefetish.com.au/products/oslo-office-chair-white,,0,TRUE,total,279,
https://hemisphereliving.com.au/products/,,0,TRUE,not legit products,83,29.74910394
https://interiorsonline.com.au/products/interiors-online-gift-card,Gift Cards | RJ Living,22,FALSE,products,195,69.89247312
https://livingedge.com.au/products/tables/dining,Dining Tables | Living Edge,27,FALSE,blank product name - wrong url,15,18.07228916
https://www.knoll.com/design-plan/products/by-designer/knoll,Designer Florence Knoll | Knoll,31,FALSE,wrong product name,,11.67681479
https://vastinterior.com.au/products/samson-daybed-single-2,Samson Daybed Single,20,FALSE,,,
https://www.hudsonfurniture.com.au/products/string-weave-timber-stool,String weave timber stool,25,FALSE,,,
https://dhfonline.com/products/gift-card,Gift Card – Donna's Home Furnishings,38,FALSE,,,
https://www.tandemarbor.com/products/kaiser-box-bed-blush-plush-velvet,Kaiser Box Bed - Blush Plush Velvet - Tandem Arbor,50,FALSE,,,
https://www.perchfurniture.com/products/hoyt-chair,Hoyt Modern Armchair – Perch Furniture,40,FALSE,,,
https://4-chairs.com/products/mason-chair,Mason Chair,11,FALSE,,,
https://www.theinside.com/products/x-bench-onyx-austin-stripe-by-old-world-weavers/PTM_XBench_OnyxAustinStripeByOldWorldWeavers,,0,TRUE,,,
https://pinchdesign.com/products/yves-desk,"View the Yves desk | Refined elegance by PINCH — Pinch DesignSearch QueryCabinetryUpholsteryChairs and stoolsTables and desksBedsLightingAccessoriesSpecial editionsAlsoAboutCollaborationsContactHow to buyOur filmMaking beautiful thingsTradePressWork with usEx-displayRest of the world+44 (0) 207 622 5075Make an enquiryFollow us onlineRest of the worldSlide 1 of 3Yves desk£3,550 Includes VAT. Excludes shipping or overseas crating.The Yves desk is an elegant and compact writing desk, with softly sculpted legs and a tiered top. It has an inlaid dark brown leather writing surface, two drawers and a cable access hole to each side at the rear of the desk.",659,TRUE,,,
https://www.do-shop.com/products/gift-card,Gift Voucher - Do Shop,22,FALSE,,,
https://claytongrayhome.com/products/palecek-coco-ruffle-mirror,Palecek Coco Ruffle Mirror,26,FALSE,,,
https://dfohome.com/products/patio-furniture/swings/all-swings,Shop our entire collection of porch swings | DFOhome,52,FALSE,,,
https://www.kmpfurniture.com/fire_collection/products/beds_80.html,Modern platform beds |  beds | japanese  platform beds - Fire Collection                                                                  Living Dining Bedroom Lighting Storage Accessories  Design Consultations & Sales Assistance1.888.567.2228      Black Friday Week Long Sales Event | Coupon Code:  | Ends November 26th | For Custom Orders 1.888.567.2228   Find a Store About KMP| Contact KMP| My Account| View Cart|            Design Consultations& Sales Assistance ☎ 1.888.567.2228                Home  Living,514,TRUE,,,
https://www.furnitureworldgalleries.com/products/,Products - Furniture World Galleries,36,FALSE,,,
https://cityfurnitureshop.com/collections/greenington/products/azara-bed,"0


Your cart",13,FALSE,,,
https://www.theguestroomfurniture.com/products/,"Quality Home Furniture – Bedroom, Living Room, Dining Room – Made In The USA —  The Guest Room Furniture",110,TRUE,,,
https://www.danishinspirations.com/products/products/bedroom/page/3/,"Modern and Contemporary Bedroom Furniture, Houston, Texas",57,FALSE,,,
https://columbineshowroom.com/products/,"Products - Columbine Showroom - Denver, CO",42,FALSE,,,
https://emfurn.com/products/aaron-sofa,Aaron Mid Century Modern Upholstered Sofa,41,FALSE,,,
https://galvinbrothers.co.uk/products/alfandbud,Alf & Bud Side Tables,21,FALSE,,,
https://tyfinefurniture.com/products/enso-platform-bed,"Enso Platform Bed - Solid Wood - Handmade in Columbus, Ohio",59,FALSE,,,
https://24estyle.com/products/eliza-fan,Eliza Fan,9,FALSE,,,
https://www.cranmorehome.com.au/products/gift-card,GIFT CARD – Cranmore Home & Co.,33,FALSE,,,
https://www.vavoom.com.au/products/ebony-chest,"Buy Tallboys & Dressers, Chest of Drawers Online | VAVOOM",57,FALSE,,,
https://www.goodwoodfurniture.com.au/products/wardrobes/colonial-robe/,"Colonial Robe | Wardrobes | Products | Good Wood Furniture, Bondi Junction, Sydney",82,TRUE,,,
https://www.yellowleafhammocks.com/products/hammock-gift-card,Give a Hammock Gift Card: All Yellow Leaf Hammocks & Hanging Chairs,67,TRUE,,,
https://asplundstore.se/products/fish-bricka,Fish bricka vit | ASPLUND Store,31,FALSE,,,
https://www.mybudgetfurniture.com/products/3pc-sectional,Sectional + Ottoman Convertible Sleeper – My Budget Furniture,63,TRUE,,,
https://www.fads.co.uk/products/living/sofas/sofa-beds/,Buy Sofa Beds at FADS Home Style | Leather & Fabric | Home Furniture,68,TRUE,,,
https://www.hipvan.com/products/sleep-mattress?ref=nav_dropdown,"SLEEP Mattress, Mattresses by HipVan | HipVan",45,FALSE,,,
https://dwell.co.uk/products/sleep/type/bed/,Contemporary Beds & Mattresses | dwell,38,FALSE,,,
